Plant,PlantProductMesh,element_code,PeriodKey,Rate,Qty,Cost,rate_fill_flag,Forecasted_Qty,MembrainProductMesh
EUF,CARBOLITE NRT 16/30 Bulk Bag,Manufacturing,2026-07,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Manufacturing,2026-08,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Manufacturing,2026-09,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Manufacturing,2026-10,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Manufacturing,2026-11,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Manufacturing,2026-12,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Materials,2025-11,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Materials,2025-12,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Materials,2026-01,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Materials,2026-02,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Materials,2026-03,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Materials,2026-04,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Materials,2026-05,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Materials,2026-06,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Materials,2026-07,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Materials,2026-08,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Materials,2026-09,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Materials,2026-10,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Materials,2026-11,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Materials,2026-12,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Other,2025-11,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Other,2025-12,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Other,2026-01,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Other,2026-02,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Other,2026-03,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Other,2026-04,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Other,2026-05,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Other,2026-06,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Other,2026-07,0.0,0.0,,original,,
